"Nom de l'offre";"Description";"URL";"Catégorie";"Mode de lecture";"Mode d'accès";"DRM";"Types d'œuvres";"Compatibilité";"Spécificités";"Régime juridique";"Label"
"RMC découverte";"Plateforme de télévision de rattrapage de la chaîne RMC Découverte, consacrée aux films et aux séries documentaires.";"http://www.rmcdecouverte.com/";"TV replay";"Streaming";"Gratuit";"Non précisé";"Série TV, Sourds et malentendants, Sport / Lifestyle, Cinéma et fiction TV, Documentaire / Émission";"Web, Windows, Mac Os X, TV connectée, GNU / Linux";"Qualité HD";"Œuvres protégées";""
"Chérie 25";"Plateforme de télévision de rattrapage de la chaîne Chérie 25.";"http://cherie25.fr";"TV replay";"Streaming";"Gratuit";"Non précisé";"Série TV, Documentaire / Émission, Sport / Lifestyle";"Web, Windows, Mac Os X, GNU / Linux, TV connectée";"Qualité HD";"Œuvres protégées";""
"L'équipe 21";"Plateforme de télévision de rattrapage de la chaîne météo présentant de nombreux bulletins météo, régionaux et nationaux.";"http://www.lequipe21.fr/";"TV replay";"Streaming";"Gratuit";"Non précisé";"Documentaire / Émission, Sport / Lifestyle";"Web, Windows, Mac Os X, GNU / Linux, iOS, Android, TV connectée";"Qualité HD";"Œuvres protégées";""
"Eurosport";"Plateforme de télévision de rattrapage de la chaîne Eurosport, entièrement consacrée au sport.";"http://www.eurosportplayer.fr";"TV replay";"Streaming";"Abonnement";"Non précisé";"Documentaire / Émission, Sport / Lifestyle, Sourds et malentendants";"Web, Windows, Mac Os X, GNU / Linux, iOS, Android, TV connectée";"Qualité HD, Sous-titres VOST";"Œuvres protégées";""
"Canalsat à la demande";"Plateforme de télévision de rattrapage du groupe CanalSat avec l'essentiel des programmes.";"http://canalsatalademande.canal-plus.com/";"TV replay";"Streaming";"Gratuit";"Non précisé";"Cinéma et fiction TV, Série TV, Dessin animé / Manga, Documentaire / Émission, Spectacle / Concert, Sport / Lifestyle";"Web, Windows, Mac Os X";"Qualité HD";"Œuvres protégées";""
"Disney Cinemagic";"Plateforme de télévision de rattrapage de Disney à destination des jeunes et des familles.";"http://www.disney.fr/disney-cinemagic/";"TV replay";"Streaming";"Gratuit";"Non précisé";"Cinéma et fiction TV, Série TV, Dessin animé / Manga";"Web, Windows, Mac Os X";"";"Œuvres protégées";""
"France 24";"Plateforme de télévision de rattrapage de la chaîne France 24, entièrement consacrée à l'information et à l'actualité mondiale en direct.";"http://www.france24.com/fr/";"TV replay";"Streaming";"Gratuit";"Non précisé";"Documentaire / Émission";"Web, Windows, Mac Os X, GNU / Linux, iOS, Android";"";"Œuvres protégées";""
"La Chaine Météo";"Plateforme de télévision de rattrapage de la chaîne LCI, consacrée à l'information et à l'actualité.";"http://france.lachainemeteo.com/";"TV replay";"Streaming";"Gratuit";"Non précisé";"Documentaire / Émission";"Web, Windows, Mac Os X, GNU / Linux";"";"Œuvres protégées";""
"Ma Chaine Étudiante";"Plateforme de télévision de rattrapage de la chaîne étudiante dédiée aux projets et à la vie étudiante.";"http://mcetv.fr/";"TV replay";"Streaming";"";"Non précisé";"";"Web, Windows, Mac Os X, GNU / Linux";"";"Œuvres protégées";""
"Melody.tv (TV-R)";"La chaîne Télé Melody propose un service de SVOD et télévision de rattrapage de plus de 600 émissions à la demande dont 100 variétés des années 60 à 90.";"http://www.melody.tv/";"TV replay";"Streaming";"Abonnement, Gratuit";"Sans DRM";"Spectacle / Concert, Documentaire / Émission";"Android, GNU / Linux, iOS, Mac Os X, TV connectée, Web, Windows";"";"Œuvres protégées";""
"Montagne TV";"Plateforme de télévision de rattrapage de la chaîne Montagne TV consacrée à la montagne.";"http://www.montagnetv.com/";"TV replay";"Streaming";"Gratuit";"Non précisé";"Documentaire / Émission, Sport / Lifestyle";"Web, Windows, Mac Os X, GNU / Linux";"";"Œuvres protégées";""
"Non stop people";"Plateforme de télévision de rattrapage dédiée à l'actualité des célébrités.";"http://www.non-stop-people.com/";"TV replay";"Streaming";"Gratuit";"Non précisé";"Documentaire / Émission";"Web, Windows, Mac Os X, GNU / Linux";"";"Œuvres protégées";""
"OLTV";"Plateforme de télévision de rattrapage du club de foot de l'Olympique Lyonnais, qui propose de nombreuses émissions, accessibles gratuitement.";"http://www.olweb.fr/fr/medias/oltv-136.html";"TV replay";"Streaming";"Gratuit";"Non précisé";"Documentaire / Émission, Sport / Lifestyle";"Web, Windows, Mac Os X, GNU / Linux";"";"Œuvres protégées";""
"OM TV";"Plateforme de télévision de rattrapage du club de foot de l'Olympique de Marseille, qui propose de nombreuses émissions, accessibles gratuitement.";"http://www.om.net";"TV replay";"Streaming";"Gratuit";"Non précisé";"Documentaire / Émission, Sport / Lifestyle";"Web, Windows, Mac Os X, GNU / Linux";"";"Œuvres protégées";""
"Seasons";"Plateforme de télévision de rattrapage de la chaîne Seaons, entièrement consacrée à la chasse, la pèche, les animaux et les chasseurs.";"http://www.seasons.fr/";"TV replay";"Streaming";"Gratuit";"Non précisé";"Documentaire / Émission, Sport / Lifestyle";"Web, Windows, Mac Os X, GNU / Linux";"";"Œuvres protégées";""
"KTO";"Plateforme de télévision de rattrapage de la chaîne KTO, dédiée au christianisme.";"http://www.ktotv.com/";"TV replay";"Streaming";"Gratuit";"Non précisé";"Documentaire / Émission";"Web, Windows, Mac Os X, GNU / Linux";"";"Œuvres protégées";""
"Girondins TV";"Plateforme de télévision de rattrapage du club de foot des Girondins de Bordeaux, qui propose de nombreuses émissions, accessibles par abonnement ou gratuitement.";"http://www.girondinstv.com/";"TV replay";"Streaming";"Gratuit, Abonnement";"Non précisé";"Documentaire / Émission, Sport / Lifestyle";"Web, Windows, Mac Os X, GNU / Linux";"";"Œuvres protégées";""
"MTV";"Plateforme de vidéo à la demande de la chaîne de divertissement MTV consacrée notamment aux séries et à la musique.";"http://www.mtv.fr/";"VOD & SVOD";"Streaming";"Gratuit";"Non précisé";"Série TV, Spectacle / Concert, Documentaire / Émission";"Android, GNU / Linux, iOS, Mac Os X, Web, Windows";"";"Œuvres protégées";""
"Game One";"Plateforme de vidéo à la demande de la chaîne de divertissement GAME ONE consacrée notamment aux jeux vidéo, aux séries d’animation et aux nouvelles technologies.";"http://www.gameone.net/";"VOD & SVOD";"Streaming";"À l'acte, Gratuit";"Non précisé";"Documentaire / Émission";"Android, GNU / Linux, iOS, Mac Os X, Web, Windows";"Qualité HD";"Œuvres protégées";""
"Histoire";"Plateforme de télévision de rattrapage de la chaîne Histoire, entièrement consacrée à des documentaires et à des séries documentaires historiques.";"http://www.histoire.fr/";"TV replay";"Streaming";"Gratuit";"Non précisé";"Documentaire / Émission";"Web, Windows, Mac Os X, GNU / Linux";"";"Œuvres protégées";""
"Teletoon+";"Plateforme de télévision de rattrapage de la chaîne Teletoon, entièrement consacrée aux dessins animés et aux cartoons.";"http://www.teletoonplus.fr/";"TV replay";"Streaming";"Gratuit";"Non précisé";"Dessin animé / Manga, Documentaire / Émission, Film de patrimoine";"Web, Windows, Mac Os X";"";"Œuvres protégées";""
"TV5 Monde";"Plateforme de télévision de rattrapage de la chaîne TV5, chaîne internationale de télévision francophone, entièrement consacrée à l'information et à l'actualité en direct.";"http://www.tv5.org/";"TV replay";"Streaming";"Gratuit";"Non précisé";"Documentaire / Émission";"Web, Windows, Mac Os X, GNU / Linux, iOS, Android";"";"Œuvres protégées";""
"Bis TV Online";"Plateforme de télévision de rattrapage du groupe AB permettant de regarder sur abonnement, toutes les chaînes du groupe.";"http://www.bistvonline.com/";"TV replay";"Streaming";"Abonnement";"Non précisé";"Cinéma et fiction TV, Série TV, Dessin animé / Manga, Documentaire / Émission, Spectacle / Concert";"Web, Windows, Mac Os X";"";"Œuvres protégées";""
"BeINSport 1 & 2";"Plateforme de télévision de rattrapage de la chaîne BeInSport. Permet d'accéder à tous les contenus par abonnement. Certaines émissions sont visionnables gratuitement.";"http://www.beinsport.fr/";"TV replay";"Streaming";"Abonnement";"Non précisé";"Documentaire / Émission, Sport / Lifestyle";"Web, Windows, Mac Os X, GNU / Linux, iOS, Android";"Qualité HD";"Œuvres protégées";""
"Cuisine +";"Plateforme de télévision de rattrapage de la chaîne Cuisine Plus, dédié à la gastronomie et mettant à disposition de nombreuses recettes en vidéo.";"http://www.cuisine-plus.tv/";"TV replay";"Streaming";"Gratuit";"Non précisé";"Documentaire / Émission, Sport / Lifestyle";"Web, Windows, Mac Os X, GNU / Linux";"";"Œuvres protégées";""
"Demain !";"Plateforme de télévision de rattrapage de la chaîne Demain, dédié à l'emploi, la formation professionnelle et les initiatives individuelles.";"http://www.demain.fr/";"TV replay";"Streaming";"Gratuit";"Non précisé";"Documentaire / Émission";"Web, Windows, Mac Os X, GNU / Linux";"";"Œuvres protégées";""
"Darty books";"Des romans policiers aux ouvrages pédagogiques en passant par les bandes dessinées sans oublier la littérature classique, l’offre disponible regroupe quasiment l’ensemble des éditeurs français proposant des ebooks. La bibliothèque est partagée en plusieurs grands thèmes : littérature, savoirs, pratique, arts et dictionnaires. On y retrouve bien sûr une partie dédiée aux livres audio. La littérature étrangère est aussi représentée avec des sections pour les livres en anglais et en espagnol. La plateforme propose également une sélection d’ebooks gratuits. Fort de cette offre, Darty propose ainsi une librairie en ligne complète et variée pour convenir à tous les lecteurs. Plus de 60 000 livres numériques sont proposés par Darty sur sa plateforme de téléchargement d’ebooks.";"http://livre-numerique.darty.com/";"eBook";"Téléchargement";"Gratuit, Carte prépayée, À l'acte";"Sans DRM";"Jeunesse / Éducatif, BD, Littérature, Format court, Livre pratique";"Web, Windows, Mac Os X, GNU / Linux, iOS, Android";"Livre homothétique, Livre audio";"";"1"
"Euronews";"Plateforme de télévision de rattrapage de la chaîne Euronews, entièrement consacrée à l'information et à l'actualité européenne en direct.";"http://fr.euronews.com/";"TV replay";"Streaming";"Gratuit";"Non précisé";"Documentaire / Émission";"Web, Windows, Mac Os X, GNU / Linux, iOS, Android";"";"Œuvres protégées";""
"I-concerts";"Chaine multimédia consacrée à la musique live, elle permet d'accéder à des vidéos de concerts en VOD depuis plusieurs types de supports.";"http://www.iconcerts.com/";"VOD & SVOD";"Téléchargement, Streaming";"Abonnement, À l'acte";"Non précisé";"Spectacle / Concert, VOD musicale";"Web, Windows, Mac Os X, iOS, Android, TV connectée";"Qualité HD";"Œuvres protégées";""
"Iguane";"Site spécialisé dans la VOD destiné aux sourds et malentendants.";"http://www.iguane-video.fr/";"VOD & SVOD";"Streaming";"À l'acte";"Non précisé";"Cinéma et fiction TV, Série TV, Dessin animé / Manga, Documentaire / Émission, Court métrage, Spectacle / Concert, Film de patrimoine, Sourds et malentendants";"Web, Windows, Mac Os X, GNU / Linux";"Sous-titres VOST";"Œuvres protégées";""
"Imineo";"Imineo est une plateforme française de téléchargement de vidéos en ligne. Le site dispose d’un catalogue de plus de 12 000 vidéos à la demande, disponibles à la location ou en téléchargement définitif, avec ou sans DRM. Le site propose des films grand public, des documentaires ainsi que de vidéos spécialisées (films de fitness, d’arts martiaux, yoga, cours de musique, etc.).";"http://www.imineo.com/";"VOD & SVOD";"Téléchargement, Streaming";"Gratuit, Carte prépayée, À l'acte";"Sans DRM";"Cinéma et fiction TV, Série TV, Dessin animé / Manga, Documentaire / Émission, Court métrage, Spectacle / Concert, Film de patrimoine, Sport / Lifestyle, Sourds et malentendants";"Web, Windows, Mac Os X, GNU / Linux";"Qualité HD, Sous-titres VOST";"Œuvres protégées";"1"
"Ina.fr";"Ina.fr est la plateforme internet grand public de l’Institut National de l’Audiovisuel. Elle propose une offre de vidéos et de sons à la demande de 40 000 heures issues de la télévision et de la radio française, organisés en grandes thématiques : sport, politique, art et culture, publicité, divertissement, fictions et animations, sciences et techniques, histoire et conflits, économie et société, médias. Environ 80% de l’offre est accessible en visionnage gratuit. La plupart des sons ou vidéos peuvent être achetés en téléchargement ou DVD à la demande sur le site http://boutique.ina.fr.";"http://boutique.ina.fr/video/";"VOD & SVOD";"Streaming, Téléchargement";"À l'acte, Abonnement, Carte prépayée, Gratuit";"Sans DRM";"Spectacle / Concert, Sport / Lifestyle, Court métrage, Documentaire / Émission, Dessin animé / Manga, Film de patrimoine";"Android, GNU / Linux, iOS, Mac Os X, TV connectée, Web, Windows";"Initiative publique";"Domaine public, Œuvres protégées";"1"
"Jook Video";"Service de VOD par abonnement du groupe AB proposant de nombreux contenus généralistes.";"http://www.jookvideo.com/";"VOD & SVOD";"Streaming";"Abonnement";"Non précisé";"Cinéma et fiction TV, Série TV, Dessin animé / Manga, Documentaire / Émission, Spectacle / Concert, Sport / Lifestyle";"Web, Windows, Mac Os X, GNU / Linux, iOS, Android, TV connectée";"Qualité HD, Sous-titres VOST";"Œuvres protégées";""
"Vidéo à la demande d'Orange";"Plateforme de streaming et de téléchargement généraliste du groupe Orange dont les contenus sont accessibles sur plusieurs supports.";"http://video-a-la-demande.orange.fr/";"VOD & SVOD";"Streaming, Téléchargement";"À l'acte, Gratuit";"Non précisé";"Série TV, Spectacle / Concert, Cinéma et fiction TV, Documentaire / Émission, Dessin animé / Manga";"Android, iOS, Mac Os X, TV connectée, Web, Windows";"Qualité HD, Séries dispo 24h après diffusion, Sous-titres VOST";"Œuvres protégées";""
"Lardux";"Lardux.com est une plateforme de producteur qui propose ses courts métrages et documentaires en accès libre. Beaucoup d'animation et quelques ""classiques"" du court métrage sont disponibles en ligne. Pour les voir, il suffit de cliquer sur l’onglet « notre catalogue » puis sur « voir le film ». Les films sont disponibles en streaming et sans publicité.";"http://www.lardux.com/";"VOD & SVOD";"Streaming";"Gratuit";"Sans DRM";"Cinéma et fiction TV, Dessin animé / Manga, Documentaire / Émission, Court métrage";"Web, Windows, Mac Os X, GNU / Linux";"Qualité HD, Sous-titres VOST";"Œuvres protégées";"1"
"Mega VOD";"Plus de 1800 films sont disponibles en téléchargement sur MegaVOD. Les téléchargements se font via un abonnement, titre par titre, directement sur votre ordinateur.";"http://www.megavod.fr/";"VOD & SVOD";"Téléchargement";"Abonnement";"Sans DRM";"Cinéma et fiction TV";"Web, Windows, Mac Os X, GNU / Linux";"Sous-titres VOST";"Œuvres protégées";"1"
"Harmattan TV";"Plateforme indépendante d'édition, Harmattan s'ouvre à la VOD et propose le streaming ou le téléchargement de différents contenus culturels, de manière gratuite ou payante.";"http://www.harmattantv.com";"VOD & SVOD";"Téléchargement";"Gratuit, À l'acte";"Non précisé";"Cinéma et fiction TV, Documentaire / Émission, Cinéma indépendant, Court métrage, Spectacle / Concert";"Web, Windows, Mac Os X";"Séries dispo 24h après diffusion";"Œuvres protégées";""
"GongVision";"Plateforme de replay et téléchargement/streaming de séries d'animation, dramas, films, e-Sports et concerts de Kpop dédiés aux 15-35.";"http://www.gongvision.com/";"VOD & SVOD";"Streaming";"À l'acte, Abonnement, Gratuit";"Non précisé";"Série TV, Documentaire / Émission, Dessin animé / Manga";"GNU / Linux, iOS, Mac Os X, Web, Windows";"Qualité HD, Sous-titres VOST";"Œuvres protégées";""
"FilmsDocumentaires.com";"Ce site propose de la VOD de films de fiction et de documentaires.";"http://www.filmsdocumentaires.com/";"VOD & SVOD";"Streaming";"À l'acte";"Non précisé";"Cinéma et fiction TV, Dessin animé / Manga, Documentaire / Émission, Court métrage, Spectacle / Concert, Film de patrimoine, Sport / Lifestyle";"Web, Windows, Mac Os X, GNU / Linux";"Qualité HD";"Œuvres protégées";""
"Bac Films La Boutique";"Site du studio Bac Films, qui propose ses productions en VOD en téléchargement à l'acte.";"http://www.bacboutique.com/";"VOD & SVOD";"Streaming";"À l'acte";"Non précisé";"Cinéma et fiction TV, Cinéma indépendant";"Web, Windows, Mac Os X";"Séries dispo 24h après diffusion";"Œuvres protégées";""
"Bangoo";"Site de streaming de dessins animés, proposant un accès illimité via un abonnement mensuel.";"https://www.bangoo.fr/";"VOD & SVOD";"Streaming";"Abonnement";"Non précisé";"Dessin animé / Manga";"Web, Windows, Mac Os X, iOS";"Séries dispo 24h après diffusion";"Œuvres protégées";""
"Booska-P";"Site entièrement consacré au rap, où il est possible de visionner de nombreux clips d'artistes de différents niveaux de popularité.";"http://www.booska-p.com/";"VOD & SVOD";"Streaming";"Gratuit";"Non précisé";"Spectacle / Concert, VOD musicale";"Web, Windows, Mac Os X, GNU / Linux";"Séries dispo 24h après diffusion";"Œuvres protégées";""
"CanalPlay VOD";"Service de vidéo à la demande de Canal +, permettant aux utilisateurs de regarder des films, séries, documentaires, etc. à la carte.";"http://vod.canalplay.com/";"VOD & SVOD";"Téléchargement, Streaming";"Carte prépayée, À l'acte";"Non précisé";"Cinéma et fiction TV, Série TV, Dessin animé / Manga, Documentaire / Émission, Court métrage, Spectacle / Concert, Film de patrimoine, Sourds et malentendants";"Web, Windows, Mac Os X, iOS, TV connectée";"Qualité HD, Sous-titres VOST";"Œuvres protégées";""
"Carlotta VOD";"Carlotta Films, société de distribution de films en salles, DVD, Blu-ray et VOD, a été créée en 1998 dans le but de valoriser le cinéma dit de patrimoine. L’objectif était, et demeure, de faire (re)découvrir des films anciens, restaurés, pour que le public puisse les voir dans les meilleures conditions. En avril 2010, Carlotta Films inaugure carlottavod.com, son site d’information et de vidéo à la demande, afin de prolonger sa politique éditoriale avec les moyens de diffusion les plus récents. Parmi son catalogue VOD, nous retrouvons des œuvres essentielles du cinéma américain (Dwan, Rogosin), italien (Rossellini, De Seta), japonais (Yoshida, Kobayashi) ou allemand (Fassbinder).";"http://www.carlottavod.com/vod.html";"VOD & SVOD";"Streaming";"Gratuit, À l'acte";"Sans DRM";"Cinéma et fiction TV, Dessin animé / Manga, Documentaire / Émission, Court métrage, Film de patrimoine";"Web, Windows, Mac Os X, GNU / Linux";"Sous-titres VOST";"Œuvres protégées, Domaine public";"1"
"Ciné-archives";"Le fonds audiovisuel du Parti Communiste met à disposition des internautes des centaines de vidéos et documentaires historiques en ligne.";"http://www.cinearchives.org/";"VOD & SVOD";"Streaming";"Gratuit";"Non précisé";"Documentaire / Émission, Court métrage, Film de patrimoine";"Web, Windows, Mac Os X, GNU / Linux";"Séries dispo 24h après diffusion";"Œuvres protégées, Domaine public";""
"Cinéma(s) à la demande";"Cinéma(s) à la demande est la plateforme VOD du distributeur Metropolitan Films qui propose un catalogue de films généraliste et tout public. Le service est disponible sur cinemasalademande.com ainsi que sur Free, Numéricable, SFR et TV connectées.";"http://www.cinemasalademande.com/";"VOD & SVOD";"Streaming, Téléchargement";"À l'acte";"Non précisé";"Cinéma et fiction TV, Dessin animé / Manga, Film de patrimoine";"Web, Windows, Mac Os X, TV connectée, GNU / Linux";"Sous-titres VOST";"Œuvres protégées";""
"Dissidenz";"Portail internet indépendant et plateforme de distribution alternative, ce site favorise la VOD de cinéma d'auteur et de productions indépendantes.";"http://dissidenzfilms.com/video-a-la-demande/";"VOD & SVOD";"Streaming";"À l'acte, Carte prépayée, Gratuit";"Non précisé";"Cinéma indépendant, Cinéma et fiction TV, Court métrage, Documentaire / Émission, Film de patrimoine";"Web, Windows, Mac Os X, GNU / Linux";"Séries dispo 24h après diffusion";"Œuvres protégées";""
"Mubi";"Plateforme de streaming de films indépendants, internationaux et classiques soutenue par Sony.";"http://fr.mubi.com/";"VOD & SVOD";"Streaming";"Gratuit, Abonnement, À l'acte";"Non précisé";"Cinéma et fiction TV, Cinéma indépendant, Court métrage, Film de patrimoine";"Web, Windows, Mac Os X, TV connectée";"Qualité HD, Sous-titres VOST";"Œuvres protégées";""
"myZen.tv (SVOD)";"La chaîne myZen TV propose un service de SVOD et télévision de rattrapage de plus de 350 exercices et massages de bien-être à la demande.";"http://www.myzen.tv/";"VOD & SVOD";"Streaming";"Abonnement, Gratuit";"Sans DRM";"Sport / Lifestyle";"Android, GNU / Linux, iOS, Mac Os X, RIM, TV connectée, Web, Windows";"";"Œuvres protégées";""
"Off.tv";"Off.tv est la chaîne musicale d’Universal. Elle diffuse des programmes courts autour de la vie musicale : moments privilégiés avec ses artistes, mini interviews, sessions en studio, instants captés avant d’entrer sur scène. Tendances du moment, artistes incontournables, talents émergents, etc. La richesse du catalogue permet aux internautes de voyager dans différents univers musicaux. Off.tv diffuse également des émissions régulières, concerts privés (« showcases ») exclusifs ou actualités en flux. L’internaute compose sa propre grille autour de l’actualité musicale proposée.";"http://www.off.tv/";"VOD & SVOD";"Streaming";"Gratuit";"Sans DRM";"Spectacle / Concert, VOD musicale";"Web, Windows, Mac Os X, GNU / Linux, iOS, Android";"Séries dispo 24h après diffusion";"Œuvres protégées";"1"
"Xbox Vidéo";"Service de VOD de la XBox. Les contenus sont visionnables sur Xbox et tablettes sous Windows 8.";"http://www.xbox.com/fr-FR/video";"VOD & SVOD";"Téléchargement, Streaming";"Carte prépayée, À l'acte";"Non précisé";"Cinéma et fiction TV";"TV connectée";"Qualité HD, Sous-titres VOST";"Œuvres protégées";""
"Evergig";"Evergig est une plateforme participative qui permet de visionner des concerts filmés par des amateurs en qualité audio HD.";"http://evergig.com/";"VOD & SVOD";"Streaming";"Gratuit";"Non précisé";"VOD musicale";"Android, GNU / Linux, iOS, Mac Os X, Web, Windows";"Séries dispo 24h après diffusion";"Œuvres protégées";""
"MyTF1";"Plateforme de télévision de rattrapage généraliste de la chaîne TF1, disponible sur différents supports.";"http://videos.tf1.fr/";"TV replay";"Streaming";"Gratuit";"Non précisé";"Cinéma et fiction TV, Série TV, Dessin animé / Manga, Documentaire / Émission, Court métrage, Sport / Lifestyle, Sourds et malentendants";"Web, Windows, Mac Os X, GNU / Linux, iOS, Android, TV connectée";"Qualité HD, Sous-titres VOST, Séries dispo 24h après diffusion";"Œuvres protégées";""
"Pluzz";"Plateforme de télévision de rattrapage généraliste regroupant les différentes chaînes du groupe France Télévisions.";"http://pluzz.francetv.fr/";"TV replay";"Streaming";"Gratuit";"Non précisé";"Cinéma et fiction TV, Série TV, Dessin animé / Manga, Documentaire / Émission, Court métrage, Spectacle / Concert, Film de patrimoine, Sport / Lifestyle, Sourds et malentendants";"Web, Windows, Mac Os X, GNU / Linux, iOS, Android, TV connectée";"Qualité HD, Sous-titres VOST";"Œuvres protégées";""
"Canal+";"Plateforme de télévision de rattrapage généraliste des émissions de la chaîne Canal+.";"player.canalplus.fr";"TV replay";"Streaming";"Gratuit, Abonnement";"Non précisé";"Série TV, Dessin animé / Manga, Documentaire / Émission, Sport / Lifestyle, Sourds et malentendants";"Web, Windows, Mac Os X, iOS, TV connectée";"Qualité HD, Sous-titres VOST";"Œuvres protégées";""
"Arte +7";"Plateforme de télévision de rattrapage de la chaîne Arte, disponible sur différents supports.";"http://videos.arte.tv/fr/videos";"TV replay";"Streaming";"Gratuit";"Non précisé";"Cinéma et fiction TV, Série TV, Documentaire / Émission, Court métrage, Spectacle / Concert, Sport / Lifestyle, Sourds et malentendants";"Web, Windows, Mac Os X, GNU / Linux, iOS, Android, TV connectée";"Qualité HD, Sous-titres VOST";"Œuvres protégées, Domaine public";""
"D8";"Plateforme de télévision de rattrapage de la chaîne D8.";"http://www.d8.tv/";"TV replay";"Streaming";"Gratuit";"Non précisé";"Cinéma et fiction TV, Série TV, Documentaire / Émission, Sport / Lifestyle";"Web, Windows, Mac Os X, GNU / Linux, iOS, TV connectée";"Sous-titres VOST";"Œuvres protégées";""
"TMC";"Plateforme de télévision de rattrapage de la chaîne TMC, disponible sur différents supports.";"http://videos.tmc.tv/";"TV replay";"Streaming";"Gratuit";"Non précisé";"Série TV, Documentaire / Émission, Sport / Lifestyle, Sourds et malentendants";"Web, Windows, Mac Os X, GNU / Linux, iOS, Android, TV connectée";"Sous-titres VOST";"Œuvres protégées";""
"Warner Bros VOD";"Plateforme de streaming et de location de films et séries produits par le groupe Warner.";"http://www.warnerbros.fr/";"VOD & SVOD";"Téléchargement, Streaming";"À l'acte";"Non précisé";"Cinéma et fiction TV, Série TV";"Web, Windows, Mac Os X";"Qualité HD";"Œuvres protégées";""
"Wakanim";"Wakanim est une plateforme communautaire ayant pour thématique les séries d'animation japonaises. Vous y trouverez un suivi de l'actualité au quotidien, des reportages, des articles, des interviews, ainsi que la diffusion de séries d'animation. Chaque semaine vous pouvez retrouver de nouveaux épisodes de série inédites, cultes ou en simulcast.";"http://www.wakanim.tv/";"VOD & SVOD";"Téléchargement, Streaming";"Gratuit, À l'acte";"Sans DRM";"Dessin animé / Manga";"Web, Windows, Mac Os X, GNU / Linux";"Qualité HD, Sous-titres VOST";"Œuvres protégées";"1"
"Vodmania";"Vodmania est une plateforme de vidéo à la demande consacrée exclusivement aux courts-métrages. Plusieurs centaines de courts-métrages du monde entier soigneusement sélectionnés sont disponibles en streaming, parmi des films d’aventure, d’animation, d’horreur ou même des comédies. Souvent, ces films ont été récompensés ou primés.";"http://www.vodmania.com/";"VOD & SVOD";"Streaming";"À l'acte";"Sans DRM";"Cinéma et fiction TV, Dessin animé / Manga, Cinéma indépendant, Court métrage";"Web, Windows, Mac Os X, GNU / Linux, TV connectée";"Sous-titres VOST";"Œuvres protégées";"1"
"OCS";"OCS est un bouquet de chaînes de télévision et télévision de rattrapage d'Orange disponible via un abonnement, dédié au cinéma et aux séries, dont certaines sont diffusées 24h après leur diffusion aux Etats-Unis.";"http://www.ocs.fr/";"TV replay";"Streaming, Téléchargement";"Abonnement";"Non précisé";"Série TV, Sourds et malentendants, Cinéma et fiction TV, Court métrage, Documentaire / Émission, Dessin animé / Manga";"Android, iOS, Web, Windows";"Qualité HD, Séries dispo 24h après diffusion, Sous-titres VOST";"Œuvres protégées";""
"Pluzz VaD";"Service en ligne de VOD de France Télevisions, proposant différents types de contenus visionnables sur tous types d'écrans.";"http://pluzzvad.francetv.fr/";"VOD & SVOD";"Téléchargement, Streaming";"À l'acte";"Non précisé";"Cinéma et fiction TV, Série TV, Dessin animé / Manga, Documentaire / Émission, Spectacle / Concert, Film de patrimoine, Sport / Lifestyle";"Web, Windows, Mac Os X, GNU / Linux, iOS, Android, TV connectée";"Qualité HD, Sous-titres VOST";"Œuvres protégées";""
"PointLignePlan";"Plateforme de téléchargement de films, documentaires, courts métrages concernant les domaines de l'art contemporain, de l'art visuel, et du cinéma.";"http://www.pointligneplan.com/";"VOD & SVOD";"Streaming";"À l'acte";"Non précisé";"Cinéma et fiction TV, Documentaire / Émission, Court métrage";"Web, Windows, Mac Os X, GNU / Linux";"Qualité HD, Sous-titres VOST";"Œuvres protégées";""
"Sundance Channel";"Chaine TV proposant de la VOD spécialisée dans les films indépendants.";"http://www.sundancechannel.fr/";"VOD & SVOD";"Streaming";"Abonnement";"Non précisé";"Cinéma indépendant, Cinéma et fiction TV, Court métrage, Documentaire / Émission";"Freebox";"Qualité HD, Sous-titres VOST";"Œuvres protégées";""
"Universciné";"Initiative née d'une cinquantaine de producteurs et distributeurs indépendants français de cinéma en 2001, Universciné est une plateforme de VOD spécialisée dans les films indépendants.En plus du site Universcine.com, la plateforme est disponible chez Free, Numéricable, SFR, TV connectées et sur tablettes et mobiles Android.";"http://www.universcine.com/";"VOD & SVOD";"Streaming, Téléchargement";"À l'acte, Carte prépayée";"Non précisé";"Cinéma indépendant, Cinéma et fiction TV, Court métrage";"Web, Windows, Mac Os X, Android, TV connectée, GNU / Linux";"Sous-titres VOST";"Œuvres protégées";""
"Vidéo Futur";"Plateforme de streaming et de téléchargement généraliste, dont les contenus sont accessibles depuis un ordinateur et LA BOX Videofutur.";"http://www.videofutur.fr/";"VOD & SVOD";"Téléchargement, Streaming";"Abonnement, À l'acte";"Non précisé";"Cinéma et fiction TV, Série TV, Dessin animé / Manga, Documentaire / Émission, Court métrage, Spectacle / Concert, Film de patrimoine, Sport / Lifestyle";"Web, Windows, Mac Os X, TV connectée";"Qualité HD, Sous-titres VOST";"Œuvres protégées";""
